Site,Date,Month,Year,Level (m ngvd29),SRP(mg/L),NH4,NO3,TDN,DOC(mg/L),Cl,SO4(mg/L),DON,Temp,Conductivity(mS/cm),DO (%),DO (mg/L),pH,Restoration day,prec
Inflow,6/26/07,6,2007,0.5657,0.03,0.377,0.013,1.68,62.54,16.2682,7.674,1.29,22.37,0.087,66.1,,5.25,119,0
Inflow,7/3/07,6,2007,0.5097,0.0072,0.349,0.011196113,1.7,62.5,,,1.339803887,,,,,,126,0
Inflow,7/10/07,7,2007,0.4789,0.0142,0.068,0.001,1.671,62.58,15.6916,3.682,1.602,21.77,0.083,67.2,,5.77,133,0
Inflow,7/17/07,7,2007,0.5079,0.008,0.07,0.001,1.543,67.75,19.4431,3.01,1.472,25.67,0.086,57,,5.57,140,0
Inflow,7/25/07,7,2007,0.4802,0.014,0.118,0.001,1.865,63,14.3241,1.815,1.746,26.3,0.065,56.8,,5.82,148,0
Inflow,7/31/07,7,2007,0.4121,0.0398,0.125,0.001,2.707,67.25,17.329,1.881,2.581,23.19,0.085,61.6,,5.47,154,8.89
Inflow,8/6/07,8,2007,0.3972,0.0395,0.125,0.001,2.707,76.595,,,2.581,,,,,,160,1.27
Inflow,8/13/07,8,2007,0.3432,,,,,76.595,16.6455,,0,,,,,,167,0
Inflow,8/22/07,8,2007,0.2298,0.02,0.159,0.009070203,3.549,85.94,31.1329,0.874,3.380929797,25.51,0.139,81.8,,4.68,176,22.098
Inflow,8/30/07,8,2007,0.1759,0.006,1.45,0.018205449,3.068,61.63,67.6268,0.569,1.599794551,23.75,0.263,97.1,,4.09,184,0
Inflow,9/5/07,9,2007,0.0818,0.005,1.17,0.02,2.55,58.8,73.1486,0.988,1.36,21.82,0.367,123.4,,4.39,190,0
Inflow,9/12/07,9,2007,0.0371,0.0025,1.93,0.01,3.584,69.35,106.5294,1.812,1.644,22.88,0.552,136,,5.04,197,0
Inflow,9/18/07,9,2007,0.0846,0.0341,1,0.0251,3.569,44.29,349.3077,9.385,2.5439,20.05,0.649,123.7,,3.88,203,0
Inflow,9/25/07,9,2007,0.1057,0.005,3.25,0.01,3.554,19.23,472.2894,12.245,0.294,22.17,1.823,4.3,,4.6,210,0
Inflow,10/3/07,10,2007,0.0737,0.005,3.97,0.02,4.6002,16.412,444.1514,9.059,0.6102,22.08,2.281,5.1,,3.85,218,0
Inflow,10/10/07,10,2007,0.0451,0.005,3.75,0.001,4.4781,17.072,755.0377,62.892,0.7271,23.75,2.65,6.4,,3.69,225,0
Inflow,10/17/07,10,2007,0.1603,0.005,4.96,0.001,5.8487,16.247,492.6418,20.19,0.8877,18.29,3.857,10.3,,3.23,232,0
Inflow,10/24/07,10,2007,0.1229,0.005,3.26,0.004,3.9468,14.179,641.1281,30.746,0.6828,19.76,3.372,3.9,,3.44,239,0
Inflow,11/1/07,11,2007,0.2195,0.005,4.39,0.001,5.2811,14.531,553.6012,23.652,0.8901,15.11,1.591,46.6,,3.35,247,0
Inflow,11/7/07,11,2007,0.1818,0.005,3.82,0.001,4.7652,14.85,566.9449,23.846,0.9442,12.53,2.877,27.6,,3.44,253,0
Inflow,11/14/07,11,2007,0.1441,0.005,3.89,0.02,5.6507,16.115,566.7162,23.206,1.7407,13.36,3.173,10.3,,3.42,260,0
Inflow,11/20/07,11,2007,0.1629,0.005,3.63,0.03,6.5362,17.38,588.4621,21.98,2.8762,11.67,3.001,8.3,,3.52,266,0
Inflow,11/29/07,11,2007,0.1395,0.005,3.36,0.04,4.1118,10.4632,482.7891,24.459,0.7118,12.4,3.052,12.3,,3.99,275,0
Inflow,12/6/07,12,2007,0.1221,0.003,0.981,0.0578,3.97265,10.2872,672.0522,19.692,2.93385,7.96,2.311,100,,3.46,282,0
Inflow,12/13/07,12,2007,0.1005,0.023,3.26,0.16456715,3.8335,10.1112,659.5205,20.362,0.40893285,12.22,2.267,78.3,,3.13,289,0
Inflow,12/23/07,12,2007,0.215,0.0102,2.9,0.089097607,4.0502,13.915,684.0592,18.009,1.061102393,10.51,2.148,122,,2.99,299,0
Inflow,12/28/07,12,2007,0.289,0.00303,2.61,0.272940962,3.6619,13.574,571.0495,13.271,0.778959038,9.87,1.984,65.1,,2.97,304,0
Inflow,1/4/08,1,2008,0.2776,0.0034,3.19,0.074914838,4.3615,11.253,689.5908,20.49,1.096585162,5.31,2.279,42.4,,2.89,311,0
Inflow,1/9/08,1,2008,0.2701,0.00254,2.64,0.063521085,3.2043,9.9319,670.4866,20.026,0.500778915,8.78,2.384,,,3.47,316,0
Inflow,1/16/08,1,2008,0.288,0.00322,2.17,0.057469849,4.356,10.9362,674.4878,16.929,2.128530151,6.96,2.152,50.5,,3.02,323,0
Inflow,1/24/08,1,2008,0.4401,0.0025,2.68,0.335390698,1.2155,18.04,101.4037,15.66,,7.17,1.772,65.3,,3.23,331,2.794
Inflow,1/31/08,1,2008,0.4055,0.00397,1.44,0.227902298,2.1538,10.6865,468.5122,14.281,0.485897702,7.07,1.43,59.1,,2.92,338,0.254
Inflow,2/7/08,2,2008,0.4097,0.00334,2.13,0.127846038,2.6202,7.128,550.7729,18.39,0.362353962,13.09,1.637,,,2.62,345,0
Inflow,2/14/08,2,2008,0.4849,0.00806,0.0445,0.065894866,1.0285,28.534,62.5409,19.069,0.918105134,,,,,,352,34.29
Inflow,2/21/08,2,2008,0.5244,0.00779,0.118,,1.1649,23.826,,,1.0469,,,,,,359,0
Inflow,2/28/08,2,2008,0.5757,0.0025,0.0308,0.04,0.68365,20.361,113,14.73,0.61285,,,,,,366,0
Inflow,3/7/08,3,2008,0.6194,0.0212,0.0001,,0.77,19.54,,,,,,,,,374,0
Inflow,3/13/08,3,2008,0.6297,0.0203,0.0001,,2.802,22.94,,,,,,,,,380,0
Inflow,3/20/08,3,2008,0.6134,0.00587,0.0809,,1.5,23.39,,,,,,,,,387,1.524
Inflow,3/27/08,3,2008,0.5804,0.00641,0.191,,1.3,21.86,,,,,0.21,,,,394,0
Inflow,4/2/08,4,2008,0.5742,0.005,0.0793,0.0005,1.338,29.8,103.3332,16.474,1.2582,,,,,,400,2.794
Inflow,4/10/08,4,2008,0.7131,0.005,0.00796,3.280937101,3.736,3.736,21.3477,29.236,0.447102899,,,,,,407,0.254
Inflow,4/17/08,4,2008,0.6618,0.005,0.117,3.108584852,4.21709,22.3715,29.4973,33.801,0.991505148,17.04,0.216,65.5,,4.02,415,0
Inflow,4/24/08,4,2008,0.751,0.005,0.0154,2.47859539,3.972834,27.631,17.8876,37.468,1.47883861,20.73,0.177,25.2,,4.34,422,0
Inflow,5/1/08,5,2008,0.7456,0.005,0.0001,0.470824495,1.956824,27.1614,16.9611,33.517,1.485899505,18.4,0.158,34.8,,3.2,429,0
Inflow,5/7/08,5,2008,0.6985,0.005,0.0501,0.19612746,1.418,29.59,20.6227,30.181,1.17177254,19.41,0.17,21.6,,2.54,435,0.254
Inflow,5/15/08,5,2008,0.6793,0.005,0.0335,0.0005,1.951,37.28,27.873,26.183,1.917,16.32,0.19,17.9,,3.66,443,0
Inflow,5/22/08,5,2008,0.6603,0.005,0.0225,0.0005,1.452,40.93,0.5848,0.282,1.429,18.37,0.183,7,,2.21,450,0.254
Inflow,5/29/08,5,2008,0.6264,0.005,0.0025,0.03237318,1.545,40.77,33.6492,22.481,1.51012682,19.03,0.184,43.8,,3.57,457,11.176
Inflow,6/5/08,6,2008,0.5764,0.005,0.0025,0.03331987,1.78,46.74,39.4374,15.958,1.74418013,17.79,0.219,6.4,,1.84,464,0
Inflow,6/12/08,6,2008,0.4971,0.005,0.133,0.066030204,2.253,52.91,59.1647,11.495,2.053969796,19.3,0.25,3.4,,2.94,471,0
Inflow,6/19/08,6,2008,0.4279,0.0103,0.0804,0.065342124,2.412,56.83,63.9681,10.776,2.266257876,21.15,0.291,4.9,,3.1,478,0
Inflow,6/26/08,6,2008,0.3559,0.005,0.106,0.062765232,1.837,46.84,75.1911,9.3,1.668234768,,,,,,485,0
Inflow,7/3/08,7,2008,0.2482,0.005,0.325,0.037925218,1.756,44.86,64.1547,11.122,1.393074782,23.27,0.279,5.1,,4.24,492,0
Inflow,7/10/08,7,2008,0.2073,0.005,0.292,0.050867198,1.718,42.31,60.0995,10.469,1.375132802,23.8,0.274,5.5,,2.71,499,12.192
Inflow,7/17/08,7,2008,0.144,0.005,0.301,0.034383374,1.829,44.46,108.8444,9.255,1.493616626,27.68,0.258,82.5,,4.17,506,0
Inflow,7/24/08,7,2008,0.1432,0.005,0.182,0.077678594,1.878,44.53,68.067,6.707,1.618321406,24.6,0.262,2.9,,2.18,513,9.652
Inflow,7/31/08,7,2008,0.133,0.005,0.146,0.042715246,1.51,38.49,68.2007,6.569,1.321284754,25.31,0.295,5,,2.58,520,1.778
Inflow,8/7/08,8,2008,0.0703,0.005,0.172,0.058855341,1.684,40.01,76.6405,6.137,1.453144659,26.3,0.28,3.1,,3,527,0
Inflow,8/14/08,8,2008,0.0131,0.005,0.24,0.025483046,,,66.0906,5.3,,22.18,0.273,4.1,,2.26,534,3.302
Inflow,8/22/08,8,2008,-0.0818,0.005,0.381,0.044532652,1.914,45.11,73.896,5.514,1.488467348,,,,,,542,0
Inflow,8/28/08,8,2008,-0.0806,0.005,0.622,0.062214562,1.996,39.39,72.0805,5.35,1.311785438,,,,,,548,23.622
Inflow,9/4/08,9,2008,0.1167,0.005,0.942,0.051390824,2.058,32.93,88.3174,7.998,1.064609176,23,0.3,6.6,,3.69,555,0
Inflow,9/11/08,9,2008,0.1911,0.005,1.1,0.055185533,2.116,30.62,121.8167,7.46,0.960814467,,,,,,562,1.777996537
Inflow,9/18/08,9,2008,0.1511,0.005,1.23,0.079909643,3.38111,34.17,102.229,6.426,2.071200357,22.04,0.322,9,,3.51,569,0
Inflow,9/25/08,9,2008,0.1162,0.005,1.46,0.08163624,3.599846,33.57,105.3277,7.141,2.05820976,19.73,0.313,54.1,,4.92,576,0
Inflow,10/2/08,10,2008,0.1348,0.005,1.48,0.090113991,3.460346,32.69,105.4599,7.18,1.890232009,19.81,0.325,7.3,,4.48,583,11.684
Inflow,10/8/08,10,2008,0.0885,0.005,1.55,0.081958953,3.5792,33.1,103.7362,6.628,1.947241047,16.48,0.331,21.7,,4.49,589,0
Inflow,10/16/08,10,2008,0.0508,0.005,1.52,0.112718872,3.574178,33.22,109.317,6.24,1.941459128,17.92,0.342,20.1,,3.67,597,0
Inflow,10/23/08,10,2008,0.0513,0.005,1.48,0.08850571,2.393,29.93,111.889,7.367,0.82449429,14.14,0.35,52.2,,3.55,604,0
Inflow,10/30/08,10,2008,0.0497,0.005,1.51,0.288558264,2.57,28.45,121.0528,12.877,0.771441736,10.4,0.363,44.9,,3.79,611,0
Inflow,11/6/08,11,2008,0.2642,0.005,0.499,0.077253808,1.914,22.27,92.4238,10.685,1.337746192,14.7,0.444,11.9,,3.25,618,28.956
Inflow,11/14/08,11,2008,0.315,0.005,0.875,0.07764339,1.347,23.67,135.2304,9.879,0.39435661,12.97,0.392,15,,5.01,626,7.112000138
Inflow,11/20/08,11,2008,0.3444,0.005,1.02,0.061871864,1.908,26.19,109.2743,11.469,0.826128136,7.63,0.358,34.7,,3.55,632,0.254000013
Inflow,11/26/08,11,2008,0.3414,0.005,0.647,0.068717161,1.709,28.1,74.2817,16.333,0.993282839,6.15,0.345,32.8,,4.97,638,0
Inflow,12/4/08,12,2008,0.4482,0.008,0.355,0.058096813,1.439,27.67,50.8403,17.988,1.025903187,6.03,0.3,41.2,,5.28,646,0
Inflow,12/10/08,12,2008,0.4433,0.008,0.0279,0.110543385,1.051,28.78,64.3118,16.688,0.912556616,6.53,0.342,29.1,,4.96,652,0.76200004
Inflow,12/18/08,12,2008,0.5734,,1.9,,0.9979,24.87,,,,12.69,0.319,35.5,,4.42,660,0.508000026
Inflow,12/25/08,12,2008,0.5635,0.005,0.0409,0.066592643,1.145,30.15,61.5378,14.009,1.037507357,8.65,0.265,31.8,,5.18,667,2.540000074
Inflow,1/3/09,1,2009,0.5526,0.005,0.119,0.054500559,1.171,32.38,52.2348,13.588,0.997499441,6.3,0.242,30.6,,5.55,676,0.254000013
Inflow,1/8/09,1,2009,0.5909,0.005,0.0694,0.059103194,1.239,30.3,43.291,14.067,1.110496806,9.14,0.213,35,,4.6,681,0
Inflow,1/15/09,1,2009,0.6205,0.005,0.025,0.061091586,1.023,28.55,29.785,13.335,0.936908414,5.87,0.19,40.2,,3.75,688,0.254000013
Inflow,1/23/09,1,2009,0.6189,0.0025,0.01,0.0005,0.9513,26.27,32.922,12.5,0.9408,5.13,0.392,20.7,,3.44,696,0
Inflow,1/29/09,1,2009,0.6207,0.0025,0.0183,0.05536835,1.024,27.08,43.4798,12.017,0.95033165,6.87,0.361,27.4,,1.77,702,0.254000013
Inflow,2/5/09,2,2009,0.6053,0.0025,0.238,0.0005,1.071,24.02,67.2412,11.942,0.8325,4.96,0.26,53.2,,3.25,709,0
Inflow,2/12/09,2,2009,0.5916,0.0025,0.284,0.0247024,1.209,23,71.2134,18.809,0.9002976,8.47,0.362,23.3,,2.38,716,0
Inflow,2/18/09,2,2009,0.5825,0.0025,0.125,0.011306204,0.9912,23.49,71.2075,13.605,0.854893796,7.61,0.277,53.2,,4.25,722,8.636000101
Inflow,2/26/09,2,2009,0.5909,0.0025,0.136,0.019545515,0.9036,22.51,73.7557,15.365,0.748054485,5.8,0.288,80.2,,4.28,730,0
Inflow,3/5/09,3,2009,0.5874,0.00273,0.0025,0.048089537,0.6587,22.51,21.199,12.272,0.608110463,4.7,0.147,89.1,,3.4,737,0.254000013
Inflow,3/12/09,3,2009,0.5642,0.0025,0.0025,0.050305917,0.8428,24.45,38.1444,9.952,0.789994083,9.48,0.251,27,,2.02,744,0.254000013
Inflow,3/19/09,3,2009,0.6268,0.0025,0.0025,0.045378576,0.9171,28.15,18.279,9.744,0.869221425,9.99,0.139,52.3,,4.06,751,0
Inflow,3/25/09,3,2009,0.6096,0.0025,0.0025,0.043299157,1.014,26.85,28.3034,9.308,0.968200843,10.64,0.158,74.2,,3.36,757,0.254000013
Inflow,4/2/09,4,2009,0.6662,0.0025,0.0025,0.046720526,0.9763,30.52,16.8456,8.07,0.927079474,13.36,0.267,17.2,,2.29,765,2.794000146
Inflow,4/8/09,4,2009,0.6571,0.0025,0.0038,0.03275246,1.0485,29.28,42.3743,10.193,1.01194754,12.36,0.182,17.2,,3.08,771,0
Inflow,4/16/09,4,2009,0.6561,0.0025,0.000523,0.040006439,1.118,29.67,32.4419,9.548,1.077470561,12.6,0.157,24.4,,4.93,779,0
Inflow,4/22/09,4,2009,0.6359,0.00659,0.0658,0.012668819,1.483773161,31.85,23.2476,7.849,1.405304342,14.35,0.18,4.4,,2.9,785,0.508000026
Inflow,4/30/09,4,2009,0.6147,0.00516,0.0124,0.01200095,1.502638967,35.18,24.5788,18.62,1.478238017,19,0.17,7,,5.27,793,0
Inflow,5/7/09,5,2009,0.6722,0.0025,0.028,0.014030591,1.53048849,50.39,17.0614,8.513,1.488457899,21.9,0.142,7,,4.17,800,22.09800004
Inflow,5/14/09,5,2009,0.7261,0.0025,0.173,0.037899964,1.826951151,40.02,24.9727,13.288,1.616051187,16.87,0.208,4.2,,4.01,807,0
Inflow,5/21/09,5,2009,0.8113,0.005364714,0.070519751,5.07029111,6.611,48.49,26.3233,22.936,1.470189139,17.97,0.238,35.6,,3.95,814,0
Inflow,5/28/09,5,2009,0.7744,0.003929794,0.021726188,0.323477885,1.649,26.56,22.7611,17.564,1.303795927,21.17,0.201,8.7,,4.41,821,0
Inflow,6/4/09,6,2009,,0.004254283,0.007777109,0.109340422,1.65,30.99,30.2295,10.438,1.53288247,20.53,0.208,5.1,,4.81,828,1.778000034
Inflow,6/11/09,6,2009,,0.005028033,0.001684663,0.019896,1.327,37.51,21.8999,7.686,1.305419337,22.07,0.162,4.9,,3.5,835,0
Inflow,6/18/09,6,2009,0.5288,0.00179,0.062025,0.01116564,1.446,32.81,28.8258,5.087,1.37280936,20.72,0.212,4.6,,4.55,842,3.809999966
Inflow,6/25/09,6,2009,0.5301,0.00303,0.012325,0.00456728,1.379,36.8,30.2618,6.286,1.36210772,21.08,0.207,2.8,,3.31,849,0.254000013
Inflow,7/2/09,7,2009,0.5,0.00103,0.01481,0.01006216,1.36,35.7,27.2043,5.838,1.33512784,21.47,0.204,5.8,,4.33,856,0.254000013
Inflow,7/9/09,7,2009,0.7031,0.000989,0.00155998,1.03699668,1.917,36.32,13.4928,8.497,0.87844334,24.54,0.123,32.4,,4.47,863,0.508000026
Inflow,7/16/09,7,2009,0.7054,0.00165,0.0071562,0.38824052,1.407,22.295,12.4321,7.859,1.01160328,22.83,0.099,3.1,,4.08,870,0
Inflow,7/23/09,7,2009,0.7493,0.00204,0.00292176,0.03826846,1.482,25.26,14.577,9.042,1.44080978,25.26,0.12,8.8,,4.18,877,3.810000024
Inflow,7/30/09,7,2009,0.6837,0.0025,0.010520496,0.0346505,1.397,44.54,16.7158,8.317,1.351829004,24.59,0.128,2.5,,3.74,884,0.254000013
Inflow,8/7/09,8,2009,0.7656,0.0025,0.00921635,0.02851412,1.222,44.28,12.7366,5.468,1.18426953,25.07,0.123,3.1,,4.79,892,1.016000053
Inflow,8/13/09,8,2009,0.7612,0.0025,0.0025,0.03654266,1.184,34.32,13.9148,6.155,1.14495734,25.01,0.128,4.8,,5.43,898,9.652000386
Inflow,8/20/09,8,2009,0.7033,0.00915868,0.0210148,0.007877502,1.133,33.89,17.2891,6.616,1.104107698,24.43,0.139,3.7,,4.47,905,0.254000013
Inflow,8/27/09,8,2009,0.7192,0.00812394,0.064362,0.003242614,1.167,33.89,19.8233,10.828,1.099395386,25.19,0.135,4.8,,5.09,912,0
Inflow,9/4/09,9,2009,0.7316,0.00699584,0.0144502,0.034012885,1.175,35.27,23.5323,16.381,1.126536915,22.32,0.134,18.1,,5.19,920,0
Inflow,9/11/09,9,2009,0.8086,0.006071226,0.0073646,0.061567493,1.064,33.92,15.3606,11.114,0.995067907,21.08,0.105,12.6,,5.68,927,0.254000013
Inflow,9/17/09,9,2009,0.7663,0.006002256,0.00400936,0.044765332,0.9611,23.29,17.4159,10.392,0.912325308,21.69,0.11,3.8,,4.37,933,0.508000026
Inflow,9/24/09,9,2009,0.7254,0.0025,0.0025,0.0005,1.218,22.82,1.5438,0.439,1.215,21.82,0.128,4.6,,4.95,940,0.254000013
Inflow,10/1/09,10,2009,0.7192,0.0025,0.009246,0.019216596,1.36,33.76,18.1707,5.06,1.331537404,18.56,0.11,4.3,,5.28,947,0.254000013
Inflow,10/8/09,10,2009,0.6921,0.0025,0.033545938,0.026343626,1.704,41.71,20.144,3.889,1.644110436,18.29,0.117,10.5,,4.97,954,0.254000013
Inflow,10/15/09,10,2009,0.6999,0.0025,0.013132099,0.0404475,1.934,44.08,20.6019,3.665,1.880420401,17.09,0.105,12.6,,4.88,961,7.366000151
Inflow,10/22/09,10,2009,0.6812,0.0025,0.0100336,0.01125049,1.5015,45.05,12.7707,0.999,1.48021591,13.83,0.078,34.6,,4.13,968,0.508000026
Inflow,10/29/09,10,2009,0.6627,0.0025,0.0419004,0.002867348,1.722,32.41,15.7884,2.717,1.677232252,15.98,0.102,11.4,,4.68,975,0
Inflow,11/5/09,11,2009,0.6654,0.0025,0.0343194,0.0005,1.701,35.76,14.0963,1.628,1.6661806,14.24,0.076,24.5,,4.32,982,0.254000013
Inflow,11/15/09,11,2009,1.0337,0.013852607,0.008520741,0.203937146,0.883394834,34.77,7.1651,5.261,0.670936947,14.94,0.063,33,,4.2,992,0.254000013
Inflow,11/19/09,11,2009,0.974,0.020666416,0.027313928,0.057097834,1.237269373,12.8,9.236,6.148,1.152857611,15.61,0.072,18.3,,4.35,996,0.254000013
Inflow,11/25/09,11,2009,0.9053,0.025716698,0.081726098,0.14273773,2.01697417,22.295,14.6289,8.453,1.792510341,14.86,0.09,20.3,,4.83,1002,0.508000026
Inflow,12/3/09,12,2009,0.8678,0.008617418,0.075736164,0.020846437,1.65904059,48.02,14.454,9.085,1.56245799,10.49,0.105,36.8,,4.75,1010,6.35000004
Inflow,12/10/09,12,2009,0.9105,0.0025,0.025050354,0.176914041,1.109632446,40.57,14.9261,10.977,0.907668051,11.58,0.121,56.2,,4.64,1017,0.761999981
Inflow,12/19/09,12,2009,0.8554,0.0025,0.066504114,0.032863469,0.939163498,27.76,14.4295,14.457,0.839795915,7.99,0.092,63.4,,4.68,1026,11.68400043
Inflow,12/26/09,12,2009,0.8748,0.0025,0.0735824,0.119607689,0.866920152,24.34,14.9448,16.282,0.673730063,6.61,0.117,82.7,,5.17,1033,22.60600042
Inflow,12/30/09,12,2009,0.866,0.0025,0.00583424,0.620734768,1.316856781,24.39,13.6989,11.68,0.690287773,4.8,0.094,74,,5.77,1037,0
Inflow,1/7/10,1,2010,0.8399,0.0025,0.095241371,0.12121729,0.865019011,22.02,14.4894,20.971,0.64856035,4.69,0.118,44.3,,5.31,1045,0.251612413
Inflow,1/14/10,1,2010,0.801,0.0025,0.118121754,0.54765353,1.026,21.63,15.1706,18.825,0.360224717,5.2,0.113,56.5,,5.48,1052,0.503224826
Inflow,1/21/10,1,2010,0.8258,0.0025,0.117824725,0.991186694,1.088,21.04,16.1642,10.513,,,,,,,1059,15.85158151
Inflow,1/28/10,1,2010,0.8636,0.0025,0.081013116,0.27788194,1.248,26.03,16.277,14.454,0.889104944,7.86,0.099,51.9,,5.41,1066,0.251612413
Inflow,2/3/10,2,2010,0.8745,0.0025,0.174378526,0.036264653,1.198,30.83,17.873,8.734,0.987356821,5.5,0.102,73.8,,5.76,1072,2.516124131
Inflow,2/11/10,2,2010,0.8937,0.0025,0.117586657,0.20047541,0.8481,21.39,15.07,13.282,0.530037933,5.56,0.093,80.4,,5.58,1080,0.251612413
Inflow,2/17/10,2,2010,0.858,0.0025,0.150835143,0.029832128,1.165,33.75,18.231,4.661,0.98433273,5.24,0.09,55.3,,4.57,1086,0.251612413
Inflow,2/25/10,2,2010,0.8345,0.0025,0.082091171,0.017556217,1.058,37.46,19.384,1.957,0.958352612,7.21,0.09,66,,3.02,1094,4.025798552
Inflow,3/3/10,3,2010,0.8631,0.0025,0.077352543,0.013327802,2.075,16.16,19.682,1.155,1.984319655,6.28,0.089,89.6,,3.36,1100,13.58706979
Inflow,3/10/10,3,2010,0.8388,0.0025,0.057016571,0.006454979,1.047,37.19,18.784,1.659,0.98352845,8.08,0.009,95.5,,2.2,1107,1.761286892
Inflow,3/18/10,3,2010,0.8422,0.0025,0.071341943,0.008997553,1.383,38.47,17.596,0.922,1.302660504,10.87,0.084,44.2,,1.88,1115,0
Inflow,3/25/10,3,2010,0.7936,0.0025,0.048095716,0.016311813,1.4835,42.375,19.968,0.663,1.419092471,13.69,0.094,50.6,,2.03,1122,0.251612413
Inflow,4/1/10,4,2010,0.8005,0.0025,0.038716957,0.006757938,1.387,45.83,20.876,0.508,1.341525105,14.76,0.102,24,,2.18,1129,0.251612413
Inflow,4/8/10,4,2010,0.7417,0.0025,0.057330821,0.00888515,1.587,52.35,21.733,0.669,1.520784029,19.75,0.108,13.9,,1.73,1136,0
Inflow,4/15/10,4,2010,0.7133,0.0025,0.064972786,0.018747562,1.618,56.69,23.684,0.594,1.534279652,15.52,0.116,9.3,,1.87,1143,0
Inflow,4/20/10,4,2010,0.6797,0.0025,0.086820007,0.01131733,1.841,59.63,24.488,0.589,1.742862663,16.11,0.12,13.4,,1.73,1148,0
Inflow,4/29/10,4,2010,0.6371,0.0025,0.194219079,0.00159164,1.631,56.91,27.143,0.857,1.435189281,16.65,0.132,10.3,,3.32,1157,0.503224826
Inflow,5/5/10,5,2010,0.6123,0.0025,0.267526094,0.07143281,1.685,54.21,29.35,1.082,1.346041096,19.99,0.14,12.1,,2.61,1163,0.503224826
Inflow,5/13/10,5,2010,0.582,0.0025,0.2955,0.09945311,2.46,61.7,30.09,0.849,2.06504689,19.07,0.144,16.7,,3.14,1171,25.91607734
Inflow,5/19/10,5,2010,0.5952,0.0025,0.262356,0.14716768,2.333,54.15,26.81,1.197,1.92347632,19.34,0.144,6.2,,2.85,1177,0.754837239
Inflow,5/27/10,5,2010,0.6622,0.0055364,0.239802,0.17626251,1.888,42.41,20.159,1.225,1.47193549,20.77,0.136,10.8,,1.9,1185,0.251612413
Inflow,6/3/10,6,2010,0.6145,0.011966,0.6815,0.02053918,2.299,56.47,26.085,0.807,1.59696082,22.95,0.128,7.8,,0.96,1192,0.251612413
Inflow,6/10/10,6,2010,0.5766,0.0025,0.571792764,0.048414117,2.027,57.17,25.78638878,1.304253858,1.40679312,21.94,0.136,8.3,,2.9,1199,0.299528302
Inflow,6/16/10,6,2010,0.5236,0.0025,0.527496036,0.027181982,2.025,59.95,26.90310821,0.87256262,1.470321982,24.34,0.174,6.9,,2.44,1205,6.489779874
Inflow,6/24/10,6,2010,0.4547,0.00643056,0.427604,0.021628441,2.117,60.65,28.19782134,0.614635924,1.66776756,26.17,0.143,8.6,,2.67,1213,0
Inflow,7/1/10,7,2010,0.5129,0.0025,0.529598,0.008893802,1.914,55.14,25.16905968,1.1444874,1.375508198,25.01,0.12,11,,2.86,1220,5.191823899
Inflow,7/8/10,7,2010,0.4351,0.020286,0.27252,0.027139428,2.085038,55.27186,28.48254377,0.597681812,1.785378572,24.3,0.152,12.3,,3,1227,0
